Day,Date,Hour,Country,Event,Actual,Previous,Consensus,Forecast
Tuesday,01/01/19,20:45,CN,Caixin Manufacturing PMI DEC,49.7,50.2,50.1,50.1
Friday,01/04/19,8:30,US,Non Farm Payrolls DEC,312K,176K,177K,165K
Sunday,01/06/19,,CN,US-China Trade Talks,,,,
Monday,01/07/19,10:00,CA,Ivey PMI s.a DEC,59.7,57.2,56.8,56.7
Monday,01/07/19,,CN,US-China Trade Talks,,,,
Tuesday,01/08/19,0:00,JP,Consumer Confidence DEC,42.7,42.9,,42
Tuesday,01/08/19,5:00,EA,Business Confidence DEC,0.82,1.04,0.99,1.1
Tuesday,01/08/19,8:30,CA,Balance of Trade NOV,-2.06B,-0.85B,-1.95B,
Wednesday,01/09/19,20:30,CN,Inflation Rate YoY DEC,0.019,2.20%,0.021,0.022
Friday,01/11/19,4:30,GB,Balance of Trade NOV,-2.904B,-3.037B,, -2.2B
Friday,01/11/19,8:30,US,Core Inflation Rate YoY DEC,0.022,2.20%,0.022,0.022
Friday,01/11/19,8:30,US,Inflation Rate YoY DEC,0.019,2.20%,0.019,0.022
Wednesday,01/16/19,4:30,GB,Inflation Rate YoY DEC,0.021,2.30%,0.021,0.022
Thursday,01/17/19,18:30,JP,Inflation Rate YoY DEC,0.003,0.80%,0.003,0.006
Friday,01/18/19,8:30,CA,Inflation Rate YoY DEC,0.02,1.70%,0.017,0.017
Tuesday,01/22/19,4:30,GB,Claimant Count Change DEC,20.8K,24.8K,20K,10K
Tuesday,01/22/19,18:50,JP,Balance of Trade DEC,-55B,-738B,-29.5B,-25B
Wednesday,01/30/19,0:00,JP,Consumer Confidence JAN,41.9,42.7,42.5,42.4
Wednesday,01/30/19,5:00,EA,Business Confidence JAN,0.69,0.86,0.75,0.75
Wednesday,01/30/19,19:01,GB,Gfk Consumer Confidence JAN,-14,-14,-15,-16
Wednesday,01/30/19,20:00,CN,NBS Manufacturing PMI JAN,49.5,49.4,49.3,49.8
Thursday,01/31/19,20:45,CN,Caixin Manufacturing PMI JAN,48.3,49.7,49.5,50
Friday,02/01/19,8:30,US,Non Farm Payrolls JAN,304K,222K,165K,170K
Wednesday,02/06/19,8:30,US,Balance of Trade NOV,-49.3B,-55.7B,-54B,-53B
Wednesday,02/06/19,10:00,CA,Ivey PMI s.a JAN,54.7,59.7,56,58
Monday,02/11/19,4:30,GB,Balance of Trade DEC,-3.229B,-3.615B,, -1.9B
Wednesday,02/13/19,4:30,GB,Inflation Rate YoY JAN,0.018,2.10%,0.019,0.02
Wednesday,02/13/19,8:30,US,Core Inflation Rate YoY JAN,0.022,2.20%,0.021,0.02
Wednesday,02/13/19,8:30,US,Inflation Rate YoY JAN,0.016,1.90%,0.015,0.019
Thursday,02/14/19,8:30,US,Retail Sales MoM DEC,-0.012,0.10%,0.002,0.003
Thursday,02/14/19,20:30,CN,Inflation Rate YoY JAN,0.017,1.90%,0.019,0.019
Tuesday,02/19/19,4:30,GB,Claimant Count Change JAN,14.2K,20.2K,2.7K,5.1K
Tuesday,02/19/19,18:50,JP,Balance of Trade JAN,-1415B,-57B,-1011B,-1000B
Thursday,02/21/19,8:30,US,Durable Goods Orders MoM DEC,0.012,1%,0.015,0.025
Thursday,02/21/19,18:30,JP,Inflation Rate YoY JAN,0.002,0.30%,0.002,0.005
Wednesday,02/27/19,5:00,EA,Business Confidence FEB,0.69,0.69,0.6,0.61
Wednesday,02/27/19,8:30,CA,Inflation Rate YoY JAN,0.014,2%,0.015,0.018
Wednesday,02/27/19,19:01,GB,Gfk Consumer Confidence FEB,-13,-14,-15,-17
Wednesday,02/27/19,20:00,CN,NBS Manufacturing PMI FEB,49.2,49.5,49.5,49.8
Thursday,02/28/19,20:45,CN,Caixin Manufacturing PMI FEB,49.9,48.3,48.5,49
Friday,03/01/19,0:00,JP,Consumer Confidence FEB,41.5,41.9,41.6,41.3
Friday,03/01/19,8:30,US,Personal Income MoM DEC,0.01,0.30%,0.004,0.004
Friday,03/01/19,8:30,US,Personal Income MoM JAN,-0.001,1%,0.003,0.003
Friday,03/01/19,8:30,US,Personal Spending MoM DEC,-0.005,0.60%,-0.002,-0.002
Monday,03/04/19,,CN,National People’s Congress,,,,
Wednesday,03/06/19,8:30,CA,Balance of Trade DEC,-4.59B,-1.98B,-2.8B,-1.7B
Wednesday,03/06/19,8:30,US,Balance of Trade DEC,-59.8B,-50.3B,-57.9B,-56B
Wednesday,03/06/19,10:00,CA,Ivey PMI s.a FEB,50.6,54.7,55.1,53
Friday,03/08/19,8:30,US,Non Farm Payrolls FEB,20K,311K,180K,190K
Friday,03/08/19,20:30,CN,Inflation Rate YoY FEB,0.015,1.70%,0.015,0.016
Monday,03/11/19,7:30,US,Retail Sales MoM JAN,0.002,-1.60%,0,0.003
Tuesday,03/12/19,4:30,GB,Balance of Trade JAN,-3.825B,-3.448B,-3.5B,-2.6B
Tuesday,03/12/19,7:30,US,Core Inflation Rate YoY FEB,0.021,2.20%,0.022,0.022
Tuesday,03/12/19,7:30,US,Inflation Rate YoY FEB,0.015,1.60%,0.016,0.016
Wednesday,03/13/19,7:30,US,Durable Goods Orders MoM JAN,0.004,1.30%,-0.005,-0.009
Sunday,03/17/19,18:50,JP,Balance of Trade FEB,339B,-1416B,310.2B,-200B
Tuesday,03/19/19,4:20,GB,Claimant Count Change FEB,27K,15.7K,2.7K,9.1K
Wednesday,03/20/19,4:30,GB,Inflation Rate YoY FEB,0.019,1.80%,0.018,0.018
Thursday,03/21/19,18:30,JP,Inflation Rate YoY FEB,0.002,0.20%,0.003,0.001
Friday,03/22/19,7:30,CA,Inflation Rate YoY FEB,0.015,1.40%,0.014,0.015
Wednesday,03/27/19,7:30,CA,Balance of Trade JAN,-4.25B,-4.82B,-3.5B,-3.9B
Wednesday,03/27/19,7:30,US,Balance of Trade JAN,-51.1B,-59.9B,-57B,-59B
Wednesday,03/27/19,,CN,US-China Trade Talks,,,,
Thursday,03/28/19,5:00,EA,Business Confidence MAR,0.53,0.69,0.66,0.6
Thursday,03/28/19,19:01,GB,Gfk Consumer Confidence MAR,-13,-13,-14,-13
Thursday,03/28/19,,CN,US-China Trade Talks,,,,
Friday,03/29/19,7:30,US,Personal Income MoM FEB,0.002,-0.10%,0.003,0.002
Friday,03/29/19,7:30,US,Personal Spending MoM JAN,0.001,-0.60%,0.003,0.004
Saturday,03/30/19,20:00,CN,NBS Manufacturing PMI MAR,50.5,49.2,49.5,49.6
Sunday,03/31/19,18:50,JP,Tankan Large Manufacturers Index Q1,12,19,13,18
Sunday,03/31/19,20:45,CN,Caixin Manufacturing PMI MAR,50.8,49.9,50.1,49.8
Monday,04/01/19,7:30,US,Retail Sales MoM FEB,-0.002,0.70%,0.003,0.002
Tuesday,04/02/19,7:30,US,Durable Goods Orders MoM FEB,-0.016,0.10%,-0.018,-0.007
Thursday,04/04/19,9:00,CA,Ivey PMI s.a MAR,54.3,50.6,51.1,50.4
Friday,04/05/19,7:30,US,Non Farm Payrolls MAR,196K,33K,180K,178K
Monday,04/08/19,0:00,JP,Consumer Confidence MAR,40.5,41.5,42.3,42
Wednesday,04/10/19,3:30,GB,Balance of Trade FEB,-4.860B,-5.345B,,-1.2B
Wednesday,04/10/19,7:30,US,Core Inflation Rate YoY MAR,0.02,2.10%,0.021,0.022
Wednesday,04/10/19,7:30,US,Inflation Rate YoY MAR,0.019,1.50%,0.018,0.017
Wednesday,04/10/19,20:30,CN,Inflation Rate YoY MAR,0.023,1.50%,0.023,0.02
Tuesday,04/16/19,3:30,GB,Claimant Count Change MAR,28.3K,26.7K,20K,5K
Tuesday,04/16/19,18:50,JP,Balance of Trade MAR,529B,335B,372.2B,250B
Wednesday,04/17/19,3:30,GB,Inflation Rate YoY MAR,0.019,1.90%,0.02,0.019
Wednesday,04/17/19,7:30,CA,Balance of Trade FEB,-2.9B,-3.09B,-3.5B,-3.9B
Wednesday,04/17/19,7:30,CA,Inflation Rate YoY MAR,0.019,1.50%,0.019,0.017
Wednesday,04/17/19,7:30,US,Balance of Trade FEB,-49.4B,-51.1B,-53.5B,-52.8B
Thursday,04/18/19,7:30,US,Retail Sales MoM MAR,0.016,-0.20%,0.009,0.006
Thursday,04/18/19,18:30,JP,Inflation Rate YoY MAR,0.005,0.20%,0.005,0.003
Thursday,04/25/19,7:30,US,Durable Goods Orders MoM MAR,0.027,-1.10%,0.008,0.005
Monday,04/29/19,4:00,EA,Business Confidence APR,0.42,0.54,0.49,0.51
Monday,04/29/19,7:30,US,Personal Income MoM MAR,0.001,0.20%,0.004,0.003
Monday,04/29/19,7:30,US,Personal Spending MoM MAR,0.009,0.10%,0.007,0.005
Monday,04/29/19,7:30,US,Personal Spending MoM FEB,0.001,0.30%,0.002,0.003
Monday,04/29/19,18:01,GB,Gfk Consumer Confidence APR,-13,-13,-12,-12
Monday,04/29/19,20:00,CN,NBS Manufacturing PMI APR,50.1,50.5,50.5,50.8
Monday,04/29/19,20:45,CN,Caixin Manufacturing PMI APR,50.2,50.8,51,51
Monday,04/29/19,,CN,US-China Trade Talks,,,,
Monday,04/29/19,7:30,US,Non Farm Payrolls APR,263K,189K,185K,178K
Tuesday,05/07/19,9:00,CA,Ivey PMI s.a APR,55.9,54.3,53,53.5
Wednesday,05/08/19,20:30,CN,Inflation Rate YoY APR,0.025,2.30%,0.025,0.021
Thursday,05/09/19,0:00,JP,Consumer Confidence APR,40.4,40.5,40.3,41
Thursday,05/09/19,7:30,CA,Balance of Trade MAR,-3.21B,-3.42B,-2.45B, -2.3B
Thursday,05/09/19,7:30,US,Balance of Trade MAR,-50B,-49.3B,-50.2B, -50.1B
Thursday,05/09/19,3:30,GB,Balance of Trade MAR,-5.408B,-6.219B,,-2.7B
Thursday,05/09/19,7:30,US,Core Inflation Rate YoY APR,0.021,2%,0.021,0.02
Thursday,05/09/19,7:30,US,Inflation Rate YoY APR,0.02,1.90%,0.021,0.019
Tuesday,05/14/19,3:30,GB,Claimant Count Change APR,24.7K,22.6K,24.2K,25K
Wednesday,05/15/19,7:30,CA,Inflation Rate YoY APR,0.02,1.90%,0.02,0.02
Wednesday,05/15/19,7:30,US,Retail Sales MoM APR,-0.002,1.70%,0.002,0.003
Tuesday,05/21/19,18:50,JP,Balance of Trade APR,60.4B,527.8B,203.2B,272B
Wednesday,05/22/19,3:30,GB,Inflation Rate YoY APR,0.021,1.90%,0.022,0.018
Thursday,05/23/19,18:30,JP,Inflation Rate YoY APR,0.009,0.50%,0.009,0.003
Thursday,05/23/19,7:30,US,Durable Goods Orders MoM APR,-0.021,1.70%,-0.02,-0.017
Tuesday,05/28/19,4:00,EA,Business Confidence 05,0.3,0.42,0.4,0.36
Thursday,05/30/19,18:01,GB,Gfk Consumer Confidence 05,-10,-13,-12,-12
Thursday,05/30/19,20:00,CN,NBS Manufacturing PMI 05,49.4,50.1,49.9,50.2
Thursday,05/30/19,0:00,JP,Consumer Confidence 05,39.4,40.4,40.6,40.5
Thursday,05/30/19,7:30,US,Personal Income MoM APR,0.005,0.10%,0.003,0.002
Thursday,05/30/19,7:30,US,Personal Spending MoM APR,0.003,1.10%,0.002,0.001
Sunday,06/02/19,20:45,CN,Caixin Manufacturing PMI 05,50.2,50.2,50,50.4
Thursday,06/06/19,7:30,CA,Balance of Trade APR,-0.97B,-2.34B,-2.8B,-3B
Thursday,06/06/19,7:30,US,Balance of Trade APR,-50.8B,-51.9B,-50.7B,-51.2B
Thursday,06/06/19,9:00,CA,Ivey PMI s.a 05,55.9,55.9,56.7,54.7
Friday,06/07/19,7:30,US,Non Farm Payrolls 05,75K,224K,185K,190K
Monday,06/10/19,3:30,GB,Balance of Trade APR,-2.740B,-6.151B,,-3.2B
Tuesday,06/11/19,3:30,GB,Claimant Count Change 05,23.2K,19.1K,22.9K,21K
Tuesday,06/11/19,20:30,CN,Inflation Rate YoY 05,0.027,2.50%,0.027,0.025
Wednesday,06/12/19,7:30,US,Core Inflation Rate YoY 05,0.02,2.10%,0.021,0.021
Wednesday,06/12/19,7:30,US,Inflation Rate YoY 05,0.018,2%,0.019,0.019
Friday,06/14/19,7:30,US,Retail Sales MoM 05,0.005,0.30%,0.006,0.006
Tuesday,06/18/19,18:50,JP,Balance of Trade 05,-967.1B,56.8B,-979.2B,-851B
Wednesday,06/19/19,3:30,GB,Inflation Rate YoY 05,0.02,2.10%,0.02,0.021
Wednesday,06/19/19,7:30,CA,Inflation Rate YoY 05,0.024,2%,0.021,0.021
Thursday,06/20/19,18:30,JP,Inflation Rate YoY 05,0.007,0.90%,0.007,0.01
Wednesday,06/26/19,7:30,US,Durable Goods Orders MoM 05,-0.013,-2.80%,-0.001,0.002
Thursday,06/27/19,4:00,EA,Business Confidence JUN,0.17,0.3,0.23,0.25
Thursday,06/27/19,18:01,GB,Gfk Consumer Confidence JUN,-13,-10,-11,-9
Friday,06/28/19,7:30,US,Personal Income MoM 05,0.005,0.50%,0.003,0.003
