Date,Price,Open,High,Low,Vol_K,Change_percent
12/01/2023,2089.7,2056.5,2095.7,2052.6,241.62,1.58
11/30/2023,2057.2,2065.4,2067.4,2051.2,151.92,-0.48
11/29/2023,2067.1,2062,2072.7,2055.9,197.79,0.81
11/28/2023,2050.5,2025,2054.4,2022.9,1.86,1.35
11/27/2023,2023.1,2012.9,2027.5,2012.7,1.06,0.47
11/24/2023,2013.7,2002.5,2014.1,2002,0.52,0.95
11/23/2023,1994.75,1991.6,1999.4,1990.85,,-0.43
11/22/2023,2003.4,2010.4,2015,1999.8,0.67,-0.43
11/21/2023,2012,1994.1,2019.5,1993.2,0.67,1.07
11/20/2023,1990.7,1997.9,1997.9,1978.1,0.31,0.30
11/17/2023,1984.7,1984.2,1996.4,1981.1,133.12,-0.13
11/16/2023,1987.3,1963,1991.1,1959,186.81,1.17
11/15/2023,1964.3,1966.9,1979.2,1958.8,142.92,-0.11
11/14/2023,1966.5,1950.3,1975.3,1938.8,180.74,0.84
11/13/2023,1950.2,1943.4,1953.5,1935.6,183.7,0.65
11/10/2023,1937.7,1964.1,1965.6,1936.9,229.64,-1.63
11/09/2023,1969.8,1955.5,1971.5,1948.3,214.08,0.61
11/08/2023,1957.8,1975.3,1977.5,1953.2,189.36,-0.80
11/07/2023,1973.5,1984.8,1985.2,1962.8,218.95,-0.76
11/06/2023,1988.6,1999.4,2000.1,1984.2,146.28,-0.53
11/03/2023,1999.2,1993.5,2011.9,1989.3,222.19,0.29
11/02/2023,1993.5,1992,1999.2,1986.3,158.65,0.30
11/01/2023,1987.5,1993.3,2005.9,1978.2,197.63,-0.34
10/31/2023,1994.3,2005.6,2017.7,1987.4,214.78,-0.56
10/30/2023,2005.6,2013.5,2016.8,1999.7,181.34,0.83
10/27/2023,1989,1987.5,2009.8,1978.5,0.37,0.06
10/26/2023,1987.9,1981.6,1992.5,1974.4,0.2,0.12
10/25/2023,1985.5,1972,1988.8,1971,0.16,0.44
10/24/2023,1976.8,1975.1,1980.3,1958.3,1.23,-0.07
10/23/2023,1978.2,1977.9,1983.1,1963.6,0.45,-0.81
10/20/2023,1994.4,1988,2009.2,1983.7,,0.70
10/19/2023,1980.5,1960.1,1990.2,1957,264.82,0.62
10/18/2023,1968.3,1936.7,1975.8,1935.9,270.05,1.68
10/17/2023,1935.7,1933.3,1944.5,1924.6,165.06,0.07
10/16/2023,1934.3,1941.3,1943,1921.2,182.82,-0.37
10/13/2023,1941.5,1881.7,1946.2,1881.5,312.99,3.11
10/12/2023,1883,1888.1,1898.3,1880.6,163.48,-0.23
10/11/2023,1887.3,1873.7,1890.9,1871.7,169.96,0.64
10/10/2023,1875.3,1875.4,1879.1,1866.1,157.34,0.59
10/09/2023,1864.3,1861,1877.3,1857.5,187.8,1.04
10/06/2023,1845.2,1834.3,1849,1823.5,231.02,0.73
10/05/2023,1831.8,1837.6,1843.5,1826.2,172.46,-0.16
10/04/2023,1834.8,1838.7,1846.8,1831.6,195.05,-0.36
10/03/2023,1841.5,1844.9,1849.3,1830.9,216.78,-0.31
