Date,Price,Vol_K,Change_percent,Country,Event,D_Consensus,D_Forecast,Sentiment
2023-12-01,2089.7,241.62,1.58,US,ISM Manufacturing PMI ,1.8887722980062926,1.053740779768177,Positive
2023-11-30,2057.2,151.92,-0.48,US,Core PCE Price Index MoM ,0.0,0.19900497512437815,Negative
2023-11-29,2067.1,197.79,0.81,US,GDP Growth Rate QoQ 2nd Est,0.3629764065335743,0.5449591280653943,Positive
2023-11-28,2050.5,1.86,1.35,,,1.097918675666989,1.4835862307477667,Neutral
2023-11-27,2023.1,1.06,0.47,,,1.097918675666989,1.4835862307477667,Neutral
2023-11-24,2013.7,0.52,0.95,,,1.097918675666989,1.4835862307477667,Neutral
2023-11-23,1994.75,200.515,-0.43,JP,Inflation Rate YoY ,1.097918675666989,0.1877934272300471,Negative
2023-11-22,2003.4,0.67,-0.43,US,Durable Goods Orders MoM ,5.027322404371584,5.664488017429194,Negative
2023-11-21,2012.0,0.67,1.07,US,FOMC Minutes,1.097918675666989,1.4835862307477667,Positive
2023-11-20,1990.7,0.31,0.3,,,1.097918675666989,1.4835862307477667,Neutral
2023-11-17,1984.7,133.12,-0.13,US,Building Permits Prel ,1.8796037592075254,1.8796037592075254,Negative
2023-11-16,1987.3,186.81,1.17,,,1.097918675666989,1.4835862307477667,Neutral
2023-11-15,1964.3,142.92,-0.11,US,PPI MoM ,1.2048192771084338,1.2048192771084338,Negative
2023-11-14,1966.5,180.74,0.84,US,Core Inflation Rate MoM ,0.19900497512437815,0.19900497512437815,Positive
2023-11-13,1950.2,183.7,0.65,,,1.097918675666989,1.4835862307477667,Neutral
2023-11-10,1937.7,229.64,-1.63,US,Michigan Consumer Sentiment Prel ,5.275779376498808,6.050955414012746,Negative
2023-11-09,1969.8,214.08,0.61,US,Fed Chair Powell Speech ,1.097918675666989,1.4835862307477667,Positive
2023-11-08,1957.8,189.36,-0.8,US,Fed Chair Powell Speech ,1.097918675666989,1.4835862307477667,Negative
2023-11-07,1973.5,218.95,-0.76,,,1.097918675666989,1.4835862307477667,Neutral
2023-11-06,1988.6,146.28,-0.53,CA,Ivey PMI s.a ,1.1070110701107037,2.441314553990605,Negative
2023-11-03,1999.2,222.19,0.29,US,Non Farm Payrolls ,18.12688821752266,23.46041055718475,Positive
2023-11-02,1993.5,158.65,0.3,GB,BoE Interest Rate Decision,0.0,0.0,Positive
2023-11-01,1987.5,197.63,-0.34,US,ISM Manufacturing PMI ,4.7569803516028895,5.761316872427978,Negative
2023-10-31,1994.3,214.78,-0.56,EA,GDP Growth Rate QoQ Flash,0.20020020020020018,0.20020020020020018,Negative
2023-10-30,2005.6,181.34,0.83,JP,BoJ Interest Rate Decision,0.0,0.0,Positive
2023-10-27,1989.0,0.37,0.06,US,Core PCE Price Index MoM ,0.0,0.19900497512437815,Positive
2023-10-26,1987.9,0.2,0.12,US,Durable Goods Orders MoM ,5.639097744360902,6.8052930056710785,Positive
2023-10-25,1985.5,0.16,0.44,US,Fed Chair Powell Speech ,1.097918675666989,1.4835862307477667,Positive
2023-10-24,1976.8,1.23,-0.07,GB,Unemployment Rate - Adjusted ,1.097918675666989,1.4835862307477667,Negative
2023-10-23,1978.2,0.45,-0.81,,,1.097918675666989,1.4835862307477667,Neutral
2023-10-20,1994.4,200.515,0.7,GB,Retail Sales MoM ,1.415571284125379,1.415571284125379,Positive
2023-10-19,1980.5,264.82,0.62,US,Fed Chair Powell Speech ,1.097918675666989,1.4835862307477667,Positive
2023-10-18,1968.3,270.05,1.68,US,Building Permits Prel ,1.172572011215913,0.6610729722857932,Positive
2023-10-17,1935.7,165.06,0.07,US,Retail Sales MoM ,0.7920792079207921,0.7920792079207921,Positive
2023-10-16,1934.3,182.82,-0.37,,,1.097918675666989,1.4835862307477667,Neutral
2023-10-13,1941.5,312.99,3.11,US,Michigan Consumer Sentiment Prel ,6.402439024390248,7.575757575757576,Positive
2023-10-12,1883.0,163.48,-0.23,US,Core Inflation Rate MoM ,0.0,0.0,Negative
2023-10-11,1887.3,169.96,0.64,US,PPI MoM ,0.3968253968253968,0.1982160555004956,Positive
2023-10-10,1875.3,157.34,0.59,,,1.097918675666989,1.4835862307477667,Neutral
2023-10-09,1864.3,187.8,1.04,,,1.097918675666989,1.4835862307477667,Neutral
2023-10-06,1845.2,231.02,0.73,US,Non Farm Payrolls ,65.48323471400394,76.38603696098562,Positive
2023-10-05,1831.8,172.46,-0.16,CA,Ivey PMI s.a ,4.385128693994289,6.750241080038573,Negative
2023-10-04,1834.8,195.05,-0.36,US,ISM Services PMI ,0.0,0.18467220683287425,Negative
