"Ranking","Name","Year","Minutes","genre","Rating","Votes"
"1.","Big Mouth","(2017– )","30 min","Animation, Comedy, Romance","7.9","79,301"
"2.","The Bad Guys","(2022)","100 min","Animation, Adventure, Comedy","6.8","37,335"
"3.","Chainsaw Man","(2022– )","","Animation, Action, Adventure","8.8","10,613"
"4.","Rick and Morty","(2013– )","23 min","Animation, Adventure, Comedy","9.1","515,315"
"5.","Disenchanted","(2022)","","Animation, Adventure, Comedy","",""
"6.","Zootopia+","(2022– )","","Animation, Short, Adventure","6.8","1,232"
"7.","Star Wars: Tales of the Jedi","(2022– )","15 min","Animation, Short, Action","8.4","15,691"
"8.","One Piece Film: Red","(2022)","115 min","Animation, Action, Adventure","6.9","6,269"
"9.","Family Guy","(1999– )","22 min","Animation, Comedy","8.2","338,447"
"10.","Wendell & Wild","(2022)","105 min","Animation, Adventure, Comedy","6.5","5,759"
"11.","The Simpsons","(1989– )","22 min","Animation, Comedy","8.7","406,290"
"12.","The Dragon Prince","(2018– )","26 min","Animation, Action, Adventure","8.3","23,460"
"13.","Attack on Titan","(2013–2023)","24 min","Animation, Action, Adventure","9.0","369,274"
"14.","Pinocchio","(II) (2022)","117 min","Animation, Drama, Family","8.0","539"
"15.","One Piece","(1999– )","24 min","Animation, Action, Adventure","8.9","124,898"
"16.","Bleach: Thousand-Year Blood War","(2022– )","24 min","Animation, Action, Adventure","9.4","8,182"
"17.","Lyle, Lyle, Crocodile","(2022)","106 min","Animation, Adventure, Comedy","6.3","2,548"
"18.","Miraculous: Tales of Ladybug & Cat Noir","(2015– )","20 min","Animation, Action, Adventure","7.6","11,645"
"19.","Strange World","(2022)","102 min","Animation, Action, Adventure","",""
"20.","Sing 2","(2021)","110 min","Animation, Adventure, Comedy","7.4","67,960"
"21.","Cyberpunk: Edgerunners","(2022– )","24 min","Animation, Action, Adventure","8.4","41,881"
"22.","My Hero Academia","(2016– )","24 min","Animation, Action, Adventure","8.4","61,931"
"23.","Super Pets","(2022)","105 min","Animation, Action, Adventure","7.3","60,494"
"24.","BoJack Horseman","(2014–2020)","25 min","Animation, Comedy, Drama","8.8","156,050"
"25.","Arcane","(2021– )","41 min","Animation, Action, Adventure","9.0","203,013"
"26.","Bob's Burgers","(2011– )","22 min","Animation, Comedy","8.2","81,343"
"27.","Zootropolis","(2016)","108 min","Animation, Adventure, Comedy","8.0","497,187"
"28.","Enchanted","(2007)","107 min","Animation, Adventure, Comedy","7.1","200,274"
"29.","South Park","(1997– )","22 min","Animation, Comedy","8.7","368,653"
"30.","The Nightmare Before Christmas","(1993)","76 min","Animation, Family, Fantasy","7.9","339,067"
"31.","Star Wars: The Clone Wars","(2008–2020)","23 min","Animation, Action, Adventure","8.4","96,880"
"32.","Demon Slayer: Kimetsu no Yaiba","(2019– )","24 min","Animation, Action, Adventure","8.7","101,339"
"33.","Love, Death & Robots","(2019– )","15 min","Animation, Short, Action","8.4","168,071"
"34.","The Super Mario Bros. Movie","(2023)","","Animation, Adventure, Comedy","",""
"35.","Encanto","(2021)","102 min","Animation, Comedy, Family","7.2","218,233"
"36.","Avatar: The Last Airbender","(2005–2008)","23 min","Animation, Action, Adventure","9.3","313,079"
"37.","The Soccer Football Movie","(2022)","73 min","Animation, Comedy, Family","3.2","355"
"38.","Batman: The Animated Series","(1992–1995)","23 min","Animation, Action, Adventure","9.0","103,990"
"39.","Archer","(2009– )","22 min","Animation, Action, Comedy","8.6","155,029"
"40.","Mob Psycho 100","(2016– )","24 min","Animation, Action, Comedy","8.6","31,786"
"41.","Minions: The Rise of Gru","(2022)","87 min","Animation, Adventure, Comedy","6.6","60,842"
"42.","Bleach","(2004–2012)","24 min","Animation, Action, Adventure","8.2","55,915"
"43.","Coco","(I) (2017)","105 min","Animation, Adventure, Comedy","8.4","503,181"
"44.","Sing","(2016)","108 min","Animation, Comedy, Family","7.1","170,727"
"45.","American Dad!","(2005– )","22 min","Animation, Comedy","7.4","128,206"
"46.","Futurama","(1999–2023)","22 min","Animation, Adventure, Comedy","8.5","237,826"
"47.","Bluey","(2018– )","7 min","Animation, Family","9.7","10,061"
"48.","The Lion King","(1994)","88 min","Animation, Adventure, Drama","8.5","1,052,286"
"49.","Invincible","(2021– )","50 min","Animation, Action, Adventure","8.7","135,460"
"50.","SPY×FAMILY","(2022– )","24 min","Animation, Action, Comedy","8.6","22,796"
