name,year,quarter,count
Ruby,2011,3,965
JavaScript,2011,3,694
Python,2011,3,619
PHP,2011,3,560
Java,2011,3,420
C++,2011,3,339
C,2011,3,163
C#,2011,3,159
Ruby,2011,4,4361
JavaScript,2011,4,4003
Python,2011,4,3145
PHP,2011,4,2841
C++,2011,4,1941
Java,2011,4,1808
C,2011,4,1113
C#,2011,4,729
Objective-C,2011,4,496
Shell,2011,4,306
Scala,2011,4,305
HTML,2011,4,255
Haskell,2011,4,169
Factor,2011,4,125
CSS,2011,4,120
Clojure,2011,4,114
Erlang,2011,4,111
Rust,2011,4,107
ActionScript,2011,4,106
JavaScript,2012,1,8910
Ruby,2012,1,7317
Python,2012,1,6774
PHP,2012,1,4858
Java,2012,1,4429
C++,2012,1,3421
C,2012,1,1544
C#,2012,1,1305
Objective-C,2012,1,1111
CoffeeScript,2012,1,483
Scala,2012,1,446
HTML,2012,1,370
Shell,2012,1,349
Haskell,2012,1,310
CSS,2012,1,265
Erlang,2012,1,199
Emacs Lisp,2012,1,170
Clojure,2012,1,142
TypeScript,2012,1,138
ActionScript,2012,1,129
XSLT,2012,1,122
Go,2012,1,111
JavaScript,2012,2,26724
Python,2012,2,19908
Ruby,2012,2,18591
Java,2012,2,13462
PHP,2012,2,12853
C++,2012,2,9933
C,2012,2,4163
Objective-C,2012,2,3181
C#,2012,2,3095
Scala,2012,2,1463
Shell,2012,2,1430
HTML,2012,2,1288
CSS,2012,2,1011
CoffeeScript,2012,2,874
Haskell,2012,2,802
Erlang,2012,2,586
Perl,2012,2,504
Emacs Lisp,2012,2,474
Go,2012,2,426
Clojure,2012,2,404
ActionScript,2012,2,390
Groovy,2012,2,362
ColdFusion,2012,2,303
Lua,2012,2,290
XSLT,2012,2,277
TypeScript,2012,2,248
Elixir,2012,2,211
Smalltalk,2012,2,210
Objective-J,2012,2,202
Vim script,2012,2,163
LiveScript,2012,2,142
D,2012,2,130
Common Lisp,2012,2,124
Factor,2012,2,120
Haxe,2012,2,116
Kotlin,2012,2,107
Brightscript,2012,2,106
AGS Script,2012,2,106
JavaScript,2012,3,31557
Python,2012,3,21936
Ruby,2012,3,18847
PHP,2012,3,16507
Java,2012,3,14231
C++,2012,3,10033
C,2012,3,4556
Objective-C,2012,3,3897
C#,2012,3,3685
HTML,2012,3,2406
Shell,2012,3,2176
CoffeeScript,2012,3,1582
AutoHotkey,2012,3,1515
CSS,2012,3,1287
Scala,2012,3,1204
Go,2012,3,1177
Haskell,2012,3,888
Emacs Lisp,2012,3,657
Clojure,2012,3,585
Erlang,2012,3,530
Jupyter Notebook,2012,3,527
Lua,2012,3,497
Perl,2012,3,414
Groovy,2012,3,404
Factor,2012,3,290
Objective-J,2012,3,268
TypeScript,2012,3,265
ActionScript,2012,3,256
XSLT,2012,3,191
ColdFusion,2012,3,188
LiveScript,2012,3,183
Vim script,2012,3,173
Smalltalk,2012,3,163
Elixir,2012,3,155
Haxe,2012,3,148
DCPU-16 ASM,2012,3,146
D,2012,3,131
VimL,2012,3,107
AGS Script,2012,3,106
JavaScript,2012,4,35627
Python,2012,4,29765
Ruby,2012,4,20850
PHP,2012,4,19848
Java,2012,4,17209
C++,2012,4,12373
C,2012,4,6160
Objective-C,2012,4,4644
C#,2012,4,4572
HTML,2012,4,2289
CoffeeScript,2012,4,2068
Scala,2012,4,1972
Shell,2012,4,1968
CSS,2012,4,1887
Haskell,2012,4,1559
Go,2012,4,1384
Lua,2012,4,1366
Emacs Lisp,2012,4,844
Erlang,2012,4,610
Perl,2012,4,535
Clojure,2012,4,481
TypeScript,2012,4,411
Elixir,2012,4,319
Groovy,2012,4,313
XSLT,2012,4,267
Vim script,2012,4,265
ColdFusion,2012,4,250
Common Lisp,2012,4,214
Visual Basic,2012,4,201
ActionScript,2012,4,173
Kotlin,2012,4,165
VimL,2012,4,153
LiveScript,2012,4,148
F#,2012,4,134
Objective-J,2012,4,121
Haxe,2012,4,114
Roff,2012,4,110
Matlab,2012,4,106
Racket,2012,4,101
JavaScript,2013,1,53707
Java,2013,1,37298
Python,2013,1,34261
Ruby,2013,1,29090
PHP,2013,1,28011
C++,2013,1,17814
C,2013,1,11148
C#,2013,1,6936
Objective-C,2013,1,6455
HTML,2013,1,4219
Scala,2013,1,3664
CSS,2013,1,3293
Shell,2013,1,3209
CoffeeScript,2013,1,2668
Go,2013,1,2056
TypeScript,2013,1,1382
Lua,2013,1,1335
Haskell,2013,1,1294
Emacs Lisp,2013,1,1160
Perl,2013,1,921
Objective-J,2013,1,752
Groovy,2013,1,731
Clojure,2013,1,609
Erlang,2013,1,589
ActionScript,2013,1,522
Vim script,2013,1,512
XSLT,2013,1,452
Jupyter Notebook,2013,1,430
ColdFusion,2013,1,289
SQF,2013,1,284
Julia,2013,1,281
Common Lisp,2013,1,257
Elixir,2013,1,253
Standard ML,2013,1,238
Kotlin,2013,1,220
Vala,2013,1,212
Haxe,2013,1,208
Cuda,2013,1,180
VimL,2013,1,165
OCaml,2013,1,152
TeX,2013,1,128
Matlab,2013,1,128
Dart,2013,1,124
PowerShell,2013,1,123
Factor,2013,1,118
Roff,2013,1,118
LiveScript,2013,1,110
AGS Script,2013,1,108
DM,2013,1,100
Pascal,2013,1,100
JavaScript,2013,2,62554
Python,2013,2,43459
Java,2013,2,32265
PHP,2013,2,31912
Ruby,2013,2,31140
C++,2013,2,16214
C,2013,2,10058
C#,2013,2,8437
Objective-C,2013,2,6368
CSS,2013,2,4465
HTML,2013,2,4047
Go,2013,2,3131
Shell,2013,2,2879
Scala,2013,2,2852
CoffeeScript,2013,2,2826
Lua,2013,2,1634
Perl,2013,2,1209
Haskell,2013,2,1209
Emacs Lisp,2013,2,1205
TypeScript,2013,2,1148
Erlang,2013,2,663
Vim script,2013,2,612
Groovy,2013,2,573
DM,2013,2,569
Clojure,2013,2,567
Elixir,2013,2,522
ActionScript,2013,2,409
Kotlin,2013,2,361
Puppet,2013,2,353
Vala,2013,2,335
Haxe,2013,2,335
XSLT,2013,2,330
Julia,2013,2,302
PostScript,2013,2,289
Dart,2013,2,272
Jupyter Notebook,2013,2,266
OCaml,2013,2,257
Common Lisp,2013,2,256
Objective-J,2013,2,223
VimL,2013,2,201
Swift,2013,2,197
ColdFusion,2013,2,189
Standard ML,2013,2,163
Matlab,2013,2,140
Makefile,2013,2,127
Factor,2013,2,117
PowerShell,2013,2,116
TeX,2013,2,112
LiveScript,2013,2,100
JavaScript,2013,3,79518
Python,2013,3,45367
Java,2013,3,35624
Ruby,2013,3,33098
PHP,2013,3,32796
C++,2013,3,16577
C,2013,3,11127
C#,2013,3,9499
Objective-C,2013,3,8331
CSS,2013,3,6582
HTML,2013,3,5838
Go,2013,3,4089
Scala,2013,3,3785
Shell,2013,3,3540
CoffeeScript,2013,3,3412
Lua,2013,3,2041
TypeScript,2013,3,2013
Haskell,2013,3,1500
Emacs Lisp,2013,3,1444
Perl,2013,3,1422
Groovy,2013,3,859
Erlang,2013,3,706
Clojure,2013,3,665
Vim script,2013,3,650
VimL,2013,3,647
XSLT,2013,3,643
Puppet,2013,3,589
Elixir,2013,3,586
Kotlin,2013,3,573
Julia,2013,3,479
Eiffel,2013,3,474
DM,2013,3,447
ActionScript,2013,3,436
Haxe,2013,3,361
TeX,2013,3,358
Swift,2013,3,350
OCaml,2013,3,313
Vala,2013,3,288
Jupyter Notebook,2013,3,267
D,2013,3,243
Dart,2013,3,241
Common Lisp,2013,3,228
PowerShell,2013,3,213
Rust,2013,3,208
Objective-J,2013,3,192
R,2013,3,190
ColdFusion,2013,3,186
Assembly,2013,3,162
Matlab,2013,3,159
F#,2013,3,150
API Blueprint,2013,3,134
LiveScript,2013,3,133
Smalltalk,2013,3,130
Visual Basic,2013,3,119
Scheme,2013,3,113
JavaScript,2013,4,92210
Python,2013,4,53499
Java,2013,4,41646
PHP,2013,4,38105
Ruby,2013,4,35217
C++,2013,4,26309
C#,2013,4,12978
C,2013,4,12138
Objective-C,2013,4,10617
HTML,2013,4,9827
CSS,2013,4,8236
Shell,2013,4,5221
Go,2013,4,4951
CoffeeScript,2013,4,4645
Scala,2013,4,4635
TypeScript,2013,4,2916
Perl,2013,4,2532
Emacs Lisp,2013,4,1791
Lua,2013,4,1597
Haskell,2013,4,1421
Swift,2013,4,1360
Groovy,2013,4,1340
Erlang,2013,4,1024
Kotlin,2013,4,1011
Clojure,2013,4,914
ActionScript,2013,4,722
Vim script,2013,4,610
Julia,2013,4,608
Puppet,2013,4,600
OCaml,2013,4,583
VimL,2013,4,487
F#,2013,4,480
Vala,2013,4,453
XSLT,2013,4,424
DM,2013,4,404
D,2013,4,377
Jupyter Notebook,2013,4,371
Elixir,2013,4,351
PowerShell,2013,4,345
TeX,2013,4,333
Brightscript,2013,4,299
Haxe,2013,4,278
Objective-J,2013,4,277
ColdFusion,2013,4,275
Rust,2013,4,265
Dart,2013,4,264
R,2013,4,245
LiveScript,2013,4,202
Ceylon,2013,4,187
Fortran,2013,4,167
Scheme,2013,4,163
Matlab,2013,4,152
Nix,2013,4,144
Common Lisp,2013,4,140
SCSS,2013,4,139
Eiffel,2013,4,128
Makefile,2013,4,116
QML,2013,4,114
Max,2013,4,113
Racket,2013,4,103
Tcl,2013,4,102
JavaScript,2014,1,124212
Python,2014,1,70525
Java,2014,1,59987
PHP,2014,1,52890
Ruby,2014,1,39506
C++,2014,1,24462
C,2014,1,16649
C#,2014,1,14511
Objective-C,2014,1,11957
HTML,2014,1,11416
CSS,2014,1,10483
CoffeeScript,2014,1,7286
Go,2014,1,6875
Shell,2014,1,6237
Scala,2014,1,5677
TypeScript,2014,1,4695
Clojure,2014,1,2275
Lua,2014,1,2166
Emacs Lisp,2014,1,2109
Haskell,2014,1,2072
Perl,2014,1,1722
Groovy,2014,1,1601
Kotlin,2014,1,1405
Erlang,2014,1,1124
Swift,2014,1,1110
Julia,2014,1,1043
Vim script,2014,1,979
Jupyter Notebook,2014,1,901
TeX,2014,1,792
DM,2014,1,708
F#,2014,1,696
Puppet,2014,1,673
Dart,2014,1,627
OCaml,2014,1,592
XSLT,2014,1,590
D,2014,1,546
Vala,2014,1,545
Apex,2014,1,528
Elixir,2014,1,508
PowerShell,2014,1,493
VimL,2014,1,486
Haxe,2014,1,464
ActionScript,2014,1,428
R,2014,1,405
Rust,2014,1,394
ColdFusion,2014,1,267
Roff,2014,1,254
Common Lisp,2014,1,252
Scheme,2014,1,237
QML,2014,1,236
Ragel in Ruby Host,2014,1,205
Nix,2014,1,199
LiveScript,2014,1,198
Brightscript,2014,1,195
Objective-J,2014,1,188
Makefile,2014,1,180
TSQL,2014,1,176
Assembly,2014,1,174
Standard ML,2014,1,155
PLpgSQL,2014,1,142
Matlab,2014,1,142
Visual Basic,2014,1,132
Max,2014,1,122
CMake,2014,1,117
ApacheConf,2014,1,110
Processing,2014,1,107
Mako,2014,1,105
JavaScript,2014,2,137097
Python,2014,2,80000
Java,2014,2,70886
PHP,2014,2,50665
Ruby,2014,2,43668
C++,2014,2,31904
C,2014,2,18007
C#,2014,2,17304
HTML,2014,2,15754
Objective-C,2014,2,13531
Haskell,2014,2,10940
CSS,2014,2,10717
Go,2014,2,10660
CoffeeScript,2014,2,8330
Shell,2014,2,7081
Scala,2014,2,6334
TypeScript,2014,2,6041
Lua,2014,2,2456
Emacs Lisp,2014,2,1950
Clojure,2014,2,1931
Rust,2014,2,1697
Perl,2014,2,1690
Groovy,2014,2,1558
Swift,2014,2,1531
Erlang,2014,2,1414
Kotlin,2014,2,1317
Julia,2014,2,1129
Jupyter Notebook,2014,2,1002
TeX,2014,2,906
Vim script,2014,2,799
F#,2014,2,791
Dart,2014,2,711
R,2014,2,702
DM,2014,2,651
Elixir,2014,2,599
ActionScript,2014,2,597
VimL,2014,2,550
D,2014,2,536
Puppet,2014,2,491
PowerShell,2014,2,475
Nix,2014,2,448
Apex,2014,2,405
OCaml,2014,2,398
Vala,2014,2,382
Haxe,2014,2,381
Objective-J,2014,2,377
Ragel in Ruby Host,2014,2,374
Makefile,2014,2,340
PLpgSQL,2014,2,323
XSLT,2014,2,317
Standard ML,2014,2,309
Common Lisp,2014,2,293
LiveScript,2014,2,288
Assembly,2014,2,275
QML,2014,2,263
Matlab,2014,2,225
Fortran,2014,2,225
Roff,2014,2,213
ColdFusion,2014,2,183
Visual Basic,2014,2,179
TSQL,2014,2,178
Scheme,2014,2,177
Eagle,2014,2,167
ASP,2014,2,156
Smalltalk,2014,2,147
MATLAB,2014,2,144
Prolog,2014,2,135
Ceylon,2014,2,131
SourcePawn,2014,2,129
CMake,2014,2,117
1C Enterprise,2014,2,116
Arduino,2014,2,115
Racket,2014,2,108
Gettext Catalog,2014,2,104
SQF,2014,2,102
SQL,2014,2,100
JavaScript,2014,3,155730
Python,2014,3,80733
Java,2014,3,65404
PHP,2014,3,58587
Ruby,2014,3,43085
C++,2014,3,32832
C#,2014,3,23982
C,2014,3,18428
HTML,2014,3,18089
Objective-C,2014,3,14475
Go,2014,3,13886
CSS,2014,3,12032
CoffeeScript,2014,3,9754
Shell,2014,3,8707
TypeScript,2014,3,8480
Scala,2014,3,8100
Haskell,2014,3,4152
Swift,2014,3,2896
Lua,2014,3,2869
Clojure,2014,3,2344
Rust,2014,3,2241
Emacs Lisp,2014,3,2147
Groovy,2014,3,1925
Perl,2014,3,1731
Kotlin,2014,3,1529
Erlang,2014,3,1375
Julia,2014,3,1368
Jupyter Notebook,2014,3,1276
Elixir,2014,3,1106
R,2014,3,1052
F#,2014,3,965
Dart,2014,3,765
DM,2014,3,739
Vim script,2014,3,724
ActionScript,2014,3,719
Makefile,2014,3,706
PowerShell,2014,3,600
OCaml,2014,3,591
D,2014,3,588
Apex,2014,3,584
TeX,2014,3,507
Objective-J,2014,3,455
VimL,2014,3,452
Puppet,2014,3,448
Assembly,2014,3,442
Vala,2014,3,397
ColdFusion,2014,3,388
Nix,2014,3,375
Haxe,2014,3,372
Common Lisp,2014,3,330
XSLT,2014,3,318
MATLAB,2014,3,249
Matlab,2014,3,248
Fortran,2014,3,248
SQF,2014,3,210
Smalltalk,2014,3,198
LiveScript,2014,3,195
Visual Basic,2014,3,195
TSQL,2014,3,185
1C Enterprise,2014,3,173
Inno Setup,2014,3,171
SourcePawn,2014,3,170
Ceylon,2014,3,165
Arduino,2014,3,164
Standard ML,2014,3,158
Scheme,2014,3,154
QML,2014,3,151
Eagle,2014,3,147
PostScript,2014,3,142
PLpgSQL,2014,3,140
Pascal,2014,3,137
Roff,2014,3,137
CMake,2014,3,125
ApacheConf,2014,3,118
Dockerfile,2014,3,114
ooc,2014,3,110
Cuda,2014,3,107
Xtend,2014,3,105
JavaScript,2014,4,179390
Python,2014,4,81662
Java,2014,4,74304
PHP,2014,4,64516
C++,2014,4,53125
Ruby,2014,4,47394
C#,2014,4,22183
C,2014,4,20525
HTML,2014,4,17257
Go,2014,4,16332
Objective-C,2014,4,14187
CSS,2014,4,13285
TypeScript,2014,4,10732
Shell,2014,4,9887
CoffeeScript,2014,4,9738
Scala,2014,4,7946
Lua,2014,4,4067
Swift,2014,4,3917
Clojure,2014,4,3495
Haskell,2014,4,3213
Rust,2014,4,3117
Kotlin,2014,4,3000
Groovy,2014,4,2614
Emacs Lisp,2014,4,2482
Perl,2014,4,2101
Erlang,2014,4,1575
F#,2014,4,1499
DM,2014,4,1390
R,2014,4,1144
Julia,2014,4,1128
Makefile,2014,4,1099
Jupyter Notebook,2014,4,1042
Vim script,2014,4,991
OCaml,2014,4,969
Haxe,2014,4,787
Dart,2014,4,731
TeX,2014,4,717
Elixir,2014,4,659
PowerShell,2014,4,655
ActionScript,2014,4,609
Puppet,2014,4,609
Nix,2014,4,585
XSLT,2014,4,565
Visual Basic,2014,4,540
VimL,2014,4,489
Apex,2014,4,446
Vala,2014,4,410
TSQL,2014,4,410
QML,2014,4,383
D,2014,4,380
Common Lisp,2014,4,378
PostScript,2014,4,342
Matlab,2014,4,337
MATLAB,2014,4,324
Dockerfile,2014,4,275
ColdFusion,2014,4,258
Eagle,2014,4,254
Objective-J,2014,4,254
SQF,2014,4,248
Smalltalk,2014,4,228
Gherkin,2014,4,211
Pascal,2014,4,207
SCSS,2014,4,193
PLpgSQL,2014,4,192
SourcePawn,2014,4,185
Fortran,2014,4,184
Assembly,2014,4,176
PureScript,2014,4,164
LiveScript,2014,4,159
Factor,2014,4,158
CMake,2014,4,157
F*,2014,4,154
ApacheConf,2014,4,152
LabVIEW,2014,4,147
Mathematica,2014,4,142
Scheme,2014,4,142
Standard ML,2014,4,141
Elm,2014,4,127
OpenEdge ABL,2014,4,123
Arduino,2014,4,115
Tcl,2014,4,114
Batchfile,2014,4,110
ABAP,2014,4,110
Ceylon,2014,4,102
JavaScript,2015,1,222962
Python,2015,1,111594
Java,2015,1,94969
PHP,2015,1,79557
Ruby,2015,1,55780
C++,2015,1,43846
C#,2015,1,32578
HTML,2015,1,26450
C,2015,1,24850
Go,2015,1,23597
CSS,2015,1,17468
Objective-C,2015,1,15661
TypeScript,2015,1,14234
Shell,2015,1,13407
CoffeeScript,2015,1,13404
Scala,2015,1,9091
Lua,2015,1,5154
Swift,2015,1,5049
Haskell,2015,1,4222
Rust,2015,1,4122
Kotlin,2015,1,4020
Clojure,2015,1,3225
Groovy,2015,1,3214
Emacs Lisp,2015,1,2977
Perl,2015,1,2826
Erlang,2015,1,1818
R,2015,1,1774
DM,2015,1,1676
Dart,2015,1,1658
Jupyter Notebook,2015,1,1585
TeX,2015,1,1490
Julia,2015,1,1453
F#,2015,1,1348
Makefile,2015,1,1321
PowerShell,2015,1,1112
OCaml,2015,1,1032
Vim script,2015,1,1001
Elixir,2015,1,888
Puppet,2015,1,878
Nix,2015,1,790
Haxe,2015,1,704
D,2015,1,700
ApacheConf,2015,1,685
QML,2015,1,662
Vala,2015,1,658
ActionScript,2015,1,555
VimL,2015,1,547
Visual Basic,2015,1,542
MATLAB,2015,1,523
XSLT,2015,1,523
Apex,2015,1,492
ColdFusion,2015,1,490
PLpgSQL,2015,1,483
TSQL,2015,1,473
Matlab,2015,1,458
PureScript,2015,1,453
Assembly,2015,1,400
Common Lisp,2015,1,393
Smalltalk,2015,1,380
Dockerfile,2015,1,375
PLSQL,2015,1,371
CMake,2015,1,366
SQF,2015,1,334
Pascal,2015,1,334
PostScript,2015,1,271
Eagle,2015,1,267
SourcePawn,2015,1,266
SCSS,2015,1,258
LabVIEW,2015,1,249
LiveScript,2015,1,248
Scheme,2015,1,248
Fortran,2015,1,219
Objective-J,2015,1,205
Roff,2015,1,202
Prolog,2015,1,189
1C Enterprise,2015,1,183
Hack,2015,1,178
Racket,2015,1,177
Gherkin,2015,1,176
Arduino,2015,1,170
Elm,2015,1,161
Standard ML,2015,1,152
M,2015,1,149
AutoHotkey,2015,1,148
F*,2015,1,146
Cucumber,2015,1,133
Rich Text Format,2015,1,127
Inno Setup,2015,1,127
Mako,2015,1,121
Max,2015,1,116
Cuda,2015,1,109
Vue,2015,1,109
Smarty,2015,1,107
Perl 6,2015,1,106
Web Ontology Language,2015,1,104
OpenEdge ABL,2015,1,102
Mathematica,2015,1,101
Processing,2015,1,100
SQLPL,2015,1,100
JavaScript,2015,2,252257
Python,2015,2,124291
Java,2015,2,107854
PHP,2015,2,82429
Ruby,2015,2,53894
C++,2015,2,48149
C#,2015,2,37234
Go,2015,2,32800
HTML,2015,2,29012
C,2015,2,27949
TypeScript,2015,2,19885
CSS,2015,2,19800
Objective-C,2015,2,17164
CoffeeScript,2015,2,16133
Shell,2015,2,16022
Scala,2015,2,11014
Swift,2015,2,8403
Dart,2015,2,6293
Rust,2015,2,4919
Lua,2015,2,4820
Kotlin,2015,2,4718
Haskell,2015,2,4316
Perl,2015,2,4061
Groovy,2015,2,3500
Clojure,2015,2,3168
Emacs Lisp,2015,2,2853
R,2015,2,2464
Erlang,2015,2,2358
DM,2015,2,1886
OCaml,2015,2,1836
PowerShell,2015,2,1429
F#,2015,2,1401
Jupyter Notebook,2015,2,1358
Julia,2015,2,1342
Makefile,2015,2,1267
Elixir,2015,2,1260
Vim script,2015,2,1202
TeX,2015,2,1170
PLpgSQL,2015,2,904
Smalltalk,2015,2,897
TSQL,2015,2,777
Haxe,2015,2,758
QML,2015,2,747
Puppet,2015,2,730
Nix,2015,2,722
D,2015,2,709
MATLAB,2015,2,705
Vala,2015,2,655
Pascal,2015,2,619
ActionScript,2015,2,609
Visual Basic,2015,2,604
Matlab,2015,2,596
XSLT,2015,2,588
VimL,2015,2,582
SQF,2015,2,519
Common Lisp,2015,2,505
CMake,2015,2,505
PureScript,2015,2,479
Dockerfile,2015,2,456
Apex,2015,2,448
Assembly,2015,2,351
PLSQL,2015,2,346
Fortran,2015,2,290
LiveScript,2015,2,269
Batchfile,2015,2,260
Eagle,2015,2,259
ApacheConf,2015,2,258
Elm,2015,2,249
Scheme,2015,2,215
APL,2015,2,213
VHDL,2015,2,206
Standard ML,2015,2,203
ColdFusion,2015,2,184
Arduino,2015,2,176
ASP,2015,2,175
Nginx,2015,2,171
Thrift,2015,2,163
OpenSCAD,2015,2,163
SCSS,2015,2,163
F*,2015,2,159
Racket,2015,2,159
Inno Setup,2015,2,158
Roff,2015,2,154
XQuery,2015,2,150
