name,year,quarter,count
Ruby,2011,3,632
PHP,2011,3,484
Python,2011,3,423
JavaScript,2011,3,367
Java,2011,3,216
C++,2011,3,181
Ruby,2011,4,3047
PHP,2011,4,2261
Python,2011,4,2120
JavaScript,2011,4,1817
Java,2011,4,984
C++,2011,4,831
C,2011,4,623
Shell,2011,4,406
C#,2011,4,291
Objective-C,2011,4,236
Scala,2011,4,200
Erlang,2011,4,149
HTML,2011,4,149
Haskell,2011,4,111
Ruby,2012,1,37951
PHP,2012,1,17274
Python,2012,1,15692
JavaScript,2012,1,13388
Java,2012,1,7817
C++,2012,1,4942
C,2012,1,2617
Groovy,2012,1,1748
Shell,2012,1,1685
C#,2012,1,1551
Scala,2012,1,1243
Objective-C,2012,1,955
TypeScript,2012,1,653
Erlang,2012,1,429
Haskell,2012,1,379
CoffeeScript,2012,1,368
HTML,2012,1,343
Go,2012,1,298
Lua,2012,1,294
Perl,2012,1,271
ColdFusion,2012,1,211
Emacs Lisp,2012,1,207
CSS,2012,1,197
Clojure,2012,1,188
Objective-J,2012,1,184
Elixir,2012,1,113
Web Ontology Language,2012,1,103
Ruby,2012,2,16616
JavaScript,2012,2,15668
Python,2012,2,14656
PHP,2012,2,14324
Java,2012,2,7183
C++,2012,2,4423
C,2012,2,2977
Scala,2012,2,1896
C#,2012,2,1833
Objective-C,2012,2,1529
Shell,2012,2,1327
HTML,2012,2,1097
Erlang,2012,2,656
CoffeeScript,2012,2,638
Perl,2012,2,631
Haskell,2012,2,555
CSS,2012,2,531
Emacs Lisp,2012,2,526
Clojure,2012,2,361
Lua,2012,2,339
Go,2012,2,313
Groovy,2012,2,230
TypeScript,2012,2,191
Puppet,2012,2,180
XSLT,2012,2,173
Objective-J,2012,2,128
Elixir,2012,2,125
ColdFusion,2012,2,125
Vim script,2012,2,112
nesC,2012,2,109
JavaScript,2012,3,19104
Ruby,2012,3,17444
Python,2012,3,17288
PHP,2012,3,17240
Java,2012,3,8285
C++,2012,3,4894
C,2012,3,4133
Scala,2012,3,2505
Shell,2012,3,2062
C#,2012,3,1887
Objective-C,2012,3,1835
HTML,2012,3,1402
CoffeeScript,2012,3,945
Perl,2012,3,740
CSS,2012,3,698
Erlang,2012,3,644
Haskell,2012,3,583
Emacs Lisp,2012,3,556
Go,2012,3,543
Clojure,2012,3,523
Lua,2012,3,436
Groovy,2012,3,388
nesC,2012,3,236
TypeScript,2012,3,209
Nix,2012,3,171
Objective-J,2012,3,143
Vim script,2012,3,134
Puppet,2012,3,121
XSLT,2012,3,120
VimL,2012,3,118
Elixir,2012,3,109
ColdFusion,2012,3,106
Ruby,2012,4,22135
Python,2012,4,21675
JavaScript,2012,4,21190
PHP,2012,4,17308
Java,2012,4,10964
C++,2012,4,5861
C,2012,4,4833
