language,num_repos
JavaScript,1100421
CSS,813443
HTML,779549
Shell,638068
Python,548870
Ruby,374802
Java,369282
PHP,339901
C,292000
C++,278066
Makefile,249563
Objective-C,168007
C#,133013
Perl,101450
Batchfile,97450
Go,91119
ApacheConf,68849
CoffeeScript,68833
CMake,55874
Assembly,47560
TypeScript,46332
Swift,42372
Scala,34501
Lua,34089
ASP,33386
PowerShell,32926
XSLT,32151
TeX,31420
Haskell,29898
R,29380
Groovy,27228
Clojure,25892
Groff,25831
Dockerfile,23782
Arduino,20551
Awk,20545
VimL,19143
Objective-C++,17832
Matlab,17708
QMake,17546
Smarty,17276
Jupyter Notebook,16898
Emacs Lisp,16691
M4,15470
Rust,15424
Puppet,14958
Erlang,14949
GLSL,13779
Yacc,13600
Scilab,13029
Lex,12414
Protocol Buffer,11749
Roff,11565
Prolog,11178
Vim script,10971
Visual Basic,10722
Pascal,10131
UnrealScript,9491
PLpgSQL,9350
SourcePawn,9002
ActionScript,8739
Nginx,8576
Vue,8575
NSIS,8072
Tcl,8067
Cucumber,7460
Kotlin,7416
D,7186
Scheme,7177
PLSQL,6950
Handlebars,6863
Elixir,6814
Processing,6775
F#,5884
Julia,5858
Common Lisp,5679
Dart,5629
Smalltalk,5588
OCaml,5575
SQLPL,5352
Perl6,5328
IDL,5323
QML,5233
M,4935
Gherkin,4707
Logos,4527
TSQL,4395
Cuda,4346
Mako,4332
PostScript,4133
AppleScript,4069
GAP,4054
DIGITAL Command Language,3832
Racket,3767
FORTRAN,3756
SuperCollider,3713
Inno Setup,3661
Bison,3649
FreeMarker,3553
Thrift,3515
Haxe,3306
Gnuplot,3183
Hack,3052
Verilog,2956
DOT,2954
HCL,2877
Elm,2855
ANTLR,2834
Fortran,2750
XML,2709
Mathematica,2649
MATLAB,2624
OpenEdge ABL,2563
GDB,2563
Nix,2446
Standard ML,2392
LiveScript,2274
Perl 6,2159
Ada,2154
SCSS,2103
Eagle,2092
VHDL,2091
ColdFusion,2061
DTrace,2055
Vala,2030
XS,1944
Forth,1904
OpenSCAD,1779
SaltStack,1684
Rebol,1667
HLSL,1632
AutoHotkey,1450
SAS,1344
LLVM,1338
Module Management System,1319
Crystal,1196
ShaderLab,1191
XQuery,1175
KiCad,1104
SystemVerilog,1039
Max,1034
Coq,1033
BitBake,1029
Stata,1026
Liquid,998
CLIPS,989
Meson,957
sed,954
eC,924
Pure Data,915
Ragel in Ruby Host,911
Starlark,897
Rich Text Format,890
GCC Machine Description,880
FLUX,864
AMPL,839
Xtend,834
Brainfuck,832
