rank ,youtuber,subscribers ,video views ,video count ,category ,started 
1,T-Series ,213000000,"188,073,919,029",16708,Music ,2006
2,YouTube Movies ,150000000,"167,122,746,349",,Film & Animation ,2015
3,Cocomelon - Nursery Rhymes ,133000000,"126,822,520,940",751,Education ,2006
4,SET India ,131000000,"101,541,977,714",78334,Shows ,2006
5,Music ,116000000,"78,437,871,689",,Music ,2013
6,PewDiePie ,111000000,"28,260,779,633",4472,Gaming ,2010
7,MrBeast ,93900000,"15,417,304,461",721,Entertainment ,2012
8,Kids Diana Show ,93800000,"73,296,417,664",977,People & Blogs ,2015
9,Gaming ,92100000,"71,692,471,446",,Gaming ,2013
10,Like Nastya,91000000,"74,204,846,514",670,People & Blogs ,2016
11,WWE ,87600000,"67,960,479,071",60699,Sports ,2007
12,Zee Music Company ,83300000,"46,291,230,294",6265,Music ,2014
13,Vlad and Niki ,80900000,"62,444,514,631",443,Entertainment ,2018
14,5-Minute Crafts,76300000,"23,174,639,387",5281,How to & Style ,2016
15,Sports ,75100000,"22,156,639,371",,Sports ,2013
16,BLACKPINK ,73600000,"23,351,994,944",394,People & Blogs ,2016
17,Goldmines ,68800000,"16,271,446,682",3050,Film & Animation ,2012
18,Justin Bieber ,68400000,"27,701,817,623",243,Music ,2007
19,Sony SAB ,65900000,"75,885,489,073",50810,Shows ,2007
20,Canal KondZilla,65600000,"36,145,092,618",2252,Music ,2012
21,BANGTANTV ,65600000,"15,827,521,495",1686,Music ,2012
22,HYBE LABELS ,65000000,"22,230,010,723",819,Music ,2008
23,Zee TV ,62000000,"15,900,076,809",59332,Entertainment ,2005
24,Shemaroo Filmi Gaane ,59400000,"27,266,280,091",7626,Music ,2010
25,Dude Perfect ,57400000,"14,219,518,587",287,Sports ,2009
26,Pinkfong Baby Shark - Kids' Songs & Stories ,57000000,"30,097,233,928",2227,Education ,2011
27,Movieclips ,56600000,"57,317,911,331",38746,Film & Animation ,2006
28,ChuChu TV Nursery Rhymes & Kids Songs ,55800000,"37,609,551,674",474,Education ,2013
29,Marshmello ,55100000,"12,967,930,243",393,Entertainment ,2015
30,Colors TV ,51900000,"48,868,988,091",78851,Shows ,2008
31,Wave Music ,51700000,"36,012,717,623",18630,Music ,2014
32,EminemMusic ,51700000,"22,733,757,739",138,Music ,2007
33,Ed Sheeran ,51600000,"26,988,082,012",240,Music ,2006
34,Aaj Tak ,51100000,"18,207,329,178",175877,News & Politics,2009
35,Ariana Grande ,51100000,"21,549,846,530",146,Music ,2007
36,Sony Music India ,50600000,"23,567,472,626",3031,Music ,2009
37,Tips Official ,50300000,"26,034,278,484",3379,Music ,2007
38,T-Series Bhakti Sagar ,49900000,"22,797,147,163",23183,Music ,2011
39,El Reino Infantil ,49300000,"47,232,834,583",1222,Music ,2011
40,LooLoo Kids - Nursery Rhymes and Children's Songs ,48900000,"28,034,396,603",505,Music ,2014
41,Taylor Swift ,46200000,"24,711,297,896",189,Music ,2006
42,YRF ,45500000,"27,290,750,378",3131,Film & Animation ,2006
43,JuegaGerman,45500000,"13,400,179,485",1918,Gaming ,2013
44,Badabun ,45500000,"18,388,171,178",11549,Entertainment ,2014
45,Billie Eilish ,45300000,"11,412,714,912",45,Music ,2013
46,Fernanfloo,44800000,"9,834,587,080",541,Gaming ,2011
47,Felipe Neto ,43900000,"14,903,103,358",3305,Entertainment ,2006
48,Whinderssonnunes ,43700000,"4,056,749,823",517,Comedy ,2013
49,HolaSoyGerman ,43200000,"4,702,061,823",136,Entertainment ,2011
50,BRIGHT SIDE ,43200000,"9,762,131,005",4843,How to & Style ,2017
51,Infobells - Hindi ,43200000,"24,014,102,724",462,Education ,2014
52,Katy Perry ,42700000,"23,477,006,711",113,Music ,2008
53,Voce Sabia?,42600000,"7,061,556,772",1253,Entertainment ,2013
54,Alan Walker ,41700000,"11,358,287,657",302,Music ,2012
55,SonyMusicIndiaVEVO,41300000,"22,855,070,416",3228,Music ,2009
56,Like Nastya Show ,41000000,"18,474,229,002",551,Entertainment ,2017
57,elrubiusOMG,40400000,"7,429,801,800",704,Gaming ,2011
58,Speed Records ,40100000,"23,698,345,670",10065,Music ,2012
