ID	Tweet	Affect Dimension	Intensity Score
2017-En-10264	@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended	anger	0.562
2017-En-10072	it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao	anger	0.750
2017-En-11383	Lol Adam the Bull with his fake outrage...	anger	0.417
2017-En-11102	@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff	anger	0.354
2017-En-11506	@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!	anger	0.438
2017-En-10779	I need a 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @lexiereid369 and a 👊🏼Rockys date🍕 	anger	0.271
2017-En-11588	And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you	anger	0.354
2017-En-11282	@leepg \n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!	anger	0.333
2017-En-11507	@MisterAK47 it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot.	anger	0.556
2017-En-10849	Follow up. Follow through. Be #relentless. #success	anger	0.125
2017-En-10640	@JustinRow10 dude the new madden 17? Haha	anger	0.231
2017-En-10946	@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser	anger	0.583
2017-En-10940	Lol little things like that make me so angry x	anger	0.604
2017-En-11456	One more day tiff.. One more day!	anger	0.208
2017-En-10869	Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..	anger	0.348
2017-En-10514	Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview	anger	0.414
2017-En-10448	Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed	anger	0.479
2017-En-21354	@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror	anger	0.766
2017-En-11609	I swear I got anger issues but my heart big AF...	anger	0.604
2017-En-10537	75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.	anger	0.438
2017-En-11088	This is a joke @SomersetCCC #fuming	anger	0.688
2017-En-10127	I just love it when people make plans for me without actually including me in this process #rage	anger	0.688
2017-En-11061	Be quick to #listen, slow to #speak, and slow to .	anger	0.121
2017-En-10563	@Sargon_of_Akkad It'll be like burning rap albums; they'll have to buy it first, but gosh darn it, they have to get rid of it.	anger	0.417
2017-En-10184	@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter	anger	0.472
2017-En-10378	@OstinOng YUUUHH 🙄😭 plus clin ep and prevmed ugghhh hahaha #bitter	anger	0.521
2017-En-10689	my wasp sting is so itchy	anger	0.356
2017-En-10631	Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! 	anger	0.396
2017-En-11107	@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?	anger	0.542
2017-En-11530	@Arsenal Giroud's beard is making me angry.	anger	0.625
2017-En-40971	@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW	anger	0.646
2017-En-10623	@jaybusbee Well, not Archie. No offense but he's kinda old.	anger	0.396
2017-En-11331	@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great  #xph	anger	0.250
2017-En-11147	Me and these burns that I pick up off the pitches don't get on at all like 😢😢 #sting	anger	0.542
2017-En-11158	ICQ is just making me mad!!!😤 #icq #angry	anger	0.750
2017-En-11248	If angry, bash out your frustration on the pastry #GBBO	anger	0.530
2017-En-10026	.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming	anger	0.792
2017-En-11075	Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower #anger #rawr #ChicagoPD	anger	0.375
2017-En-40458	@talkRobyn oh dear I have to watch this the woman with the pout did well	anger	0.442
2017-En-10481	He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.	anger	0.458
2017-En-11344	@Dak2future decorations are up all over Jersey already #outrage	anger	0.562
2017-En-11121	We're going to get City in the next round for a revenge.	anger	0.438
2017-En-10748	@JOjojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol	anger	0.389
2017-En-11559	No respect for people who force their opinions on to others yet get offended when someone does the same to them 😂	anger	0.479
2017-En-11141	Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife	anger	0.479
2017-En-10919	Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry	anger	0.708
2017-En-11548	Ultimately, #KeithScott wasn't the man they were there to hand an arrest warrant to. That's what we know. That's enough to cause outrage.	anger	0.741
2017-En-10221	I genuinely think I have anger issues	anger	0.604
