Brand,Age Group,Rank
Mars,18-24,1.0
Galaxy,18-24,2.0
Dairy Milk,18-24,3.0
Snickers,18-24,4.0
Twix,18-24,5.0
Wispa,18-24,6.0
KitKat,18-24,7.0
Double Decker,18-24,8.0
Twirl,18-24,9.0
Crunchie,18-24,10.0
Boost,18-24,
Bounty,18-24,
Picnic,18-24,
Mars,35-44,1.0
Galaxy,35-44,2.0
Snickers,35-44,3.0
Dairy Milk,35-44,4.0
Twix,35-44,5.0
Wispa,35-44,6.0
Double Decker,35-44,7.0
Boost,35-44,8.0
Twirl,35-44,9.0
KitKat,35-44,10.0
Bounty,35-44,
Crunchie,35-44,
Picnic,35-44,
Mars,65+,1.0
Galaxy,65+,2.0
Snickers,65+,3.0
Twix,65+,4.0
KitKat,65+,5.0
Crunchie,65+,6.0
Bounty,65+,7.0
Picnic,65+,8.0
Twirl,65+,9.0
Dairy Milk,65+,10.0
Boost,65+,
Double Decker,65+,
Wispa,65+,
