Year,State,Income Level,Percent of Total,Number of Households
2009,Alabama,"$10,000 to $14,999",0.0742,134988
2009,Alabama,"$15,000 to $19,999",0.0687,125046
2009,Alabama,"$20,000 to $24,999",0.0661,120178
2009,Alabama,"$25,000 to $29,999",0.0607,110437
2009,Alabama,"$30,000 to $34,999",0.0578,105216
2009,Alabama,"$35,000 to $39,999",0.0536,97549
2009,Alabama,"$40,000 to $44,999",0.0502,91415
2009,Alabama,"$45,000 to $49,999",0.0438,79708
2009,Alabama,"$50,000 to $59,999",0.0822,149589
2009,Alabama,"$60,000 to $74,999",0.0937,170463
2009,Alabama,"$75,000 to $99,999",0.1051,191272
2009,Alabama,"$100,000 to $124,999",0.0596,108519
2009,Alabama,"$125,000 to $149,999",0.0305,55565
2009,Alabama,"$150,000 to $199,999",0.0253,46035
2009,Alabama,"$200,000 or more",0.022,39992
2009,Alabama,"Less than $10,000",0.1063,193469
2009,Alaska,"$10,000 to $14,999",0.0384,9008
2009,Alaska,"$15,000 to $19,999",0.0355,8340
2009,Alaska,"$20,000 to $24,999",0.0422,9918
2009,Alaska,"$25,000 to $29,999",0.0441,10358
2009,Alaska,"$30,000 to $34,999",0.0437,10268
2009,Alaska,"$35,000 to $39,999",0.0419,9829
2009,Alaska,"$40,000 to $44,999",0.0453,10628
2009,Alaska,"$45,000 to $49,999",0.0443,10393
2009,Alaska,"$50,000 to $59,999",0.0834,19589
2009,Alaska,"$60,000 to $74,999",0.1132,26588
2009,Alaska,"$75,000 to $99,999",0.1532,35969
2009,Alaska,"$100,000 to $124,999",0.1069,25090
2009,Alaska,"$125,000 to $149,999",0.0643,15090
2009,Alaska,"$150,000 to $199,999",0.0604,14169
2009,Alaska,"$200,000 or more",0.0407,9559
2009,Alaska,"Less than $10,000",0.0425,9983
2009,Arizona,"$10,000 to $14,999",0.0506,113771
2009,Arizona,"$15,000 to $19,999",0.0522,117428
2009,Arizona,"$20,000 to $24,999",0.0574,129134
2009,Arizona,"$25,000 to $29,999",0.0568,127613
2009,Arizona,"$30,000 to $34,999",0.0576,129527
2009,Arizona,"$35,000 to $39,999",0.0541,121730
2009,Arizona,"$40,000 to $44,999",0.0531,119477
2009,Arizona,"$45,000 to $49,999",0.0473,106383
2009,Arizona,"$50,000 to $59,999",0.0863,193921
2009,Arizona,"$60,000 to $74,999",0.1063,239002
2009,Arizona,"$75,000 to $99,999",0.1238,278303
2009,Arizona,"$100,000 to $124,999",0.0745,167597
2009,Arizona,"$125,000 to $149,999",0.0416,93591
2009,Arizona,"$150,000 to $199,999",0.0361,81181
2009,Arizona,"$200,000 or more",0.0342,76876
2009,Arizona,"Less than $10,000",0.0679,152636
2009,Arkansas,"$10,000 to $14,999",0.0785,87121
2009,Arkansas,"$15,000 to $19,999",0.0729,80945
2009,Arkansas,"$20,000 to $24,999",0.0729,80938
2009,Arkansas,"$25,000 to $29,999",0.0661,73323
2009,Arkansas,"$30,000 to $34,999",0.0643,71366
2009,Arkansas,"$35,000 to $39,999",0.0574,63707
2009,Arkansas,"$40,000 to $44,999",0.0528,58603
2009,Arkansas,"$45,000 to $49,999",0.0477,52973
2009,Arkansas,"$50,000 to $59,999",0.084,93175
2009,Arkansas,"$60,000 to $74,999",0.0926,102735
2009,Arkansas,"$75,000 to $99,999",0.0954,105867
2009,Arkansas,"$100,000 to $124,999",0.0487,54018
2009,Arkansas,"$125,000 to $149,999",0.0249,27585
2009,Arkansas,"$150,000 to $199,999",0.0202,22426
2009,Arkansas,"$200,000 or more",0.0176,19484
2009,Arkansas,"Less than $10,000",0.104,115369
2009,California,"$10,000 to $14,999",0.0516,628340
2009,California,"$15,000 to $19,999",0.0466,567704
2009,California,"$20,000 to $24,999",0.0481,586414
2009,California,"$25,000 to $29,999",0.0465,566709
2009,California,"$30,000 to $34,999",0.0456,556073
2009,California,"$35,000 to $39,999",0.0441,538037
2009,California,"$40,000 to $44,999",0.0438,533922
2009,California,"$45,000 to $49,999",0.0401,488245
2009,California,"$50,000 to $59,999",0.0776,945136
