population_in_2023,population_in_2022,city,country,population_growthRate,type
37194105,37274002,Tokyo,Japan,-0.0021,w
32941309,32065760,Delhi,India,0.0273,w
29210808,28516903,Shanghai,China,0.0243,w
23209616,22478117,Dhaka,Bangladesh,0.0325,w
22619736,22429799,Sao Paulo,Brazil,0.0085,w
22281442,22085139,Mexico City,Mexico,0.0089,w
22183201,21750020,Cairo,Egypt,0.0199,w
21766214,21333331,Beijing,China,0.0203,w
21296517,20961473,Mumbai,India,0.016,w
19013434,19059857,Osaka,Japan,-0.0024,w
17340704,16874741,Chongqing,China,0.0276,w
17236230,16839950,Karachi,Pakistan,0.0235,w
16315534,15628085,Kinshasa,DR Congo,0.044,w
15945912,15387639,Lagos,Nigeria,0.0363,w
15847768,15636243,Istanbul,Turkey,0.0135,w
15490415,15369919,Buenos Aires,Argentina,0.0078,w
15332793,15133888,Kolkata,India,0.0131,w
14667089,14406059,Manila,Philippines,0.0181,w
14284353,13964637,Guangzhou,China,0.0229,w
14238643,14011828,Tianjin,China,0.0162,w
13979390,13541764,Lahore,Pakistan,0.0323,w
13727720,13634274,Rio de Janeiro,Brazil,0.0069,w
13607800,13193035,Bangalore,India,0.0314,w
13072633,12831330,Shenzhen,China,0.0188,w
12680389,12640818,Moscow,Russia,0.0031,w
11776147,11503293,Chennai,India,0.0237,w
11507960,11344312,Bogota,Colombia,0.0144,w
11248839,11074811,Jakarta,Indonesia,0.0157,w
11208440,11142303,Paris,France,0.0059,w
11204382,11044607,Lima,Peru,0.0145,w
11069982,10899698,Bangkok,Thailand,0.0156,w
10801163,10534418,Hyderabad,India,0.0253,w
9988049,9975709,Seoul,South Korea,0.0012,w
9698464,9429381,Nanjing,China,0.0285,w
9653772,9478521,Chengdu,China,0.0185,w
9648110,9540576,London,United Kingdom,0.0113,w
9569328,9571596,Nagoya,Japan,-0.0002,w
9499781,9381546,Tehran,Iran,0.0126,w
9320866,9077158,Ho Chi Minh City,Vietnam,0.0268,w
9292336,8952496,Luanda,Angola,0.038,w
8785174,8537646,Xi-an Shaanxi,China,0.029,w
8718250,8591611,Wuhan,China,0.0147,w
8650605,8450228,Ahmedabad,India,0.0237,w
8621724,8419566,Kuala Lumpur,Malaysia,0.024,w
8237206,8044878,Hangzhou,China,0.0239,w
8074031,7764499,Suzhou,China,0.0399,w
8064949,7784276,Surat,India,0.0361,w
7888121,8172684,New York City,NY,-0.0348,us
7775865,7404689,Dar es Salaam,Tanzania,0.0501,w
7711305,7511920,Baghdad,Iraq,0.0265,w
7684801,7643256,Hong Kong,Hong Kong,0.0054,w
7682430,7538200,Riyadh,Saudi Arabia,0.0191,w
7680967,7527975,Shenyang,China,0.0203,w
7597386,7497263,Foshan,China,0.0134,w
7587049,7511851,Dongguan,China,0.01,w
7166374,6987077,Pune,India,0.0257,w
6903392,6856939,Santiago,Chile,0.0068,w
6803811,6665951,Haerbin,China,0.0207,w
6751374,6713557,Madrid,Spain,0.0056,w
6371958,6312974,Toronto,Canada,0.0093,w
6344348,6160327,Khartoum,Sudan,0.0299,w
6247889,6194292,Belo Horizonte,Brazil,0.0087,w
6198016,6065354,Johannesburg,South Africa,0.0219,w
6080859,6039577,Singapore,Singapore,0.0068,w
6077995,5930140,Dalian,China,0.0249,w
5986525,5865232,Qingdao,China,0.0207,w
5859272,5690312,Zhengzhou,China,0.0297,w
5806031,5663015,Ji-nan Shandong,China,0.0253,w
5687356,5658472,Barcelona,Spain,0.0051,w
5686350,5515790,Abidjan,Ivory Coast,0.0309,w
5610241,5514454,Yangon,Myanmar,0.0174,w
5588477,5483605,Alexandria,Egypt,0.0191,w
5561294,5535556,Saint Petersburg,Russia,0.0046,w
5490271,5502591,Fukuoka,Japan,-0.0022,w
5460591,5227794,Addis Ababa,Ethiopia,0.0445,w
5419880,5339583,Guadalajara,Mexico,0.015,w
5397098,5309690,Ankara,Turkey,0.0165,w
5379660,5252842,Chittagong,Bangladesh,0.0241,w
5325160,5118844,Nairobi,Kenya,0.0403,w
5253385,5067352,Hanoi,Vietnam,0.0367,w
5235407,5150766,Melbourne,Australia,0.0164,w
5120894,5056571,Sydney,Australia,0.0127,w
5116647,5036535,Monterrey,Mexico,0.0159,w
4921487,4809887,Changsha,China,0.0232,w
4890280,4800954,Cape Town,South Africa,0.0186,w
4873048,4803877,Brasilia,Brazil,0.0144,w
4865038,4710203,Urumqi,China,0.0329,w
4862941,4780740,Jiddah,Saudi Arabia,0.0172,w
4761284,4657381,Kunming,China,0.0223,w
4710382,4616002,Changchun,China,0.0204,w
4615758,4496456,Hefei,China,0.0265,w
4588666,4457882,Kabul,Afghanistan,0.0293,w
4573713,4490411,Shantou,China,0.0186,w
4537901,4405292,Ningbo,China,0.0301,w
4509287,4336670,Yaounde,Cameroon,0.0398,w
4504147,4470672,New Taipei,Taiwan,0.0075,w
4420855,4343584,Tel Aviv,Israel,0.0178,w
4370473,4285135,Shijiazhuang,China,0.0199,w
4348481,4219209,Kano,Nigeria,0.0306,w
4315671,4297877,Rome,Italy,0.0041,w
4307958,4276526,Montreal,Canada,0.0073,w
4263940,4220458,Recife,Brazil,0.0103,w
4211933,4185488,Porto Alegre,Brazil,0.0063,w
4207084,4106756,Jaipur,India,0.0244,w
4206240,4163953,Fortaleza,Brazil,0.0102,w
4191890,4085697,Nanning,China,0.026,w
4145010,4061003,Taiyuan Shanxi,China,0.0207,w
4118327,4044660,Ekurhuleni,South Africa,0.0182,w
4102308,4067758,Medellin,Colombia,0.0085,w
4088555,3920873,Kozhikode,India,0.0428,w
4063200,3926645,Douala,Cameroon,0.0348,w
4009087,3816345,Malappuram,India,0.0505,w
3981658,3869213,Changzhou,China,0.0291,w
3958384,3920132,Salvador,Brazil,0.0098,w
3945409,3854224,Lucknow,India,0.0237,w
3935484,3862882,Xiamen,China,0.0188,w
3922202,3843753,Fuzhou Fujian,China,0.0204,w
3920379,3817888,Nanchang,China,0.0268,w
3919724,3824561,Wenzhou,China,0.0249,w
3892837,3840396,Casablanca,Morocco,0.0137,w
3874908,3756445,Ibadan,Nigeria,0.0315,w
3872264,3699900,Antananarivo,Madagascar,0.0466,w
3846102,3651919,Kampala,Uganda,0.0532,w
3839646,3652029,Abuja,Nigeria,0.0514,w
3814702,3693292,Tangshan Hebei,China,0.0329,w
3813082,3770919,Curitiba,Brazil,0.0112,w
3769485,3809182,Los Angeles,CA,-0.0104,us
3768239,3630326,Kumasi,Ghana,0.038,w
3729351,3622203,Bekasi,Indonesia,0.0296,w
3710845,3624804,Faisalabad,Pakistan,0.0237,w
3580904,3495855,Guiyang,China,0.0243,w
3573938,3570750,Berlin,Germany,0.0009,w
3523890,3457626,Santo Domingo,Dominican Republic,0.0192,w
3510511,3452315,Asuncion,Paraguay,0.0169,w
3482456,3351322,Thrissur,India,0.0391,w
3480101,3324694,Port Harcourt,Nigeria,0.0467,w
3471949,3468139,Busan,South Korea,0.0011,w
3437346,3375810,Wuxi,China,0.0182,w
3429536,3326001,Dakar,Senegal,0.0311,w
3422796,3384564,Campinas,Brazil,0.0113,w
3406055,3301294,Kochi,India,0.0317,w
3367852,3317640,Mashhad,Iran,0.0151,w
3344761,3294779,Puebla,Mexico,0.0152,w
3302077,3208722,Indore,India,0.0291,w
3297759,3238523,Kuwait City,Kuwait,0.0183,w
3297528,3226493,Lanzhou,China,0.022,w
3292497,3181655,Sanaa,Yemen,0.0348,w
3234160,3189926,Kanpur,India,0.0139,w
3228003,3199329,Durban,South Africa,0.009,w
3203923,3055788,Ouagadougou,Burkina Faso,0.0485,w
3181250,3041789,Lusaka,Zambia,0.0458,w
3157538,3132527,Pyongyang,North Korea,0.008,w
3154570,3149223,Milan,Italy,0.0017,w
3154463,3153781,Athens,Greece,0.0002,w
3142466,3092355,Guayaquil,Ecuador,0.0162,w
3095099,3036405,Guatemala City,Guatemala,0.0193,w
3088414,3056149,Izmir,Turkey,0.0106,w
3046687,2991427,Nagpur,India,0.0185,w
3044413,3005385,Surabaya,Indonesia,0.013,w
3041229,2942149,Depok,Indonesia,0.0337,w
3016789,3010209,Kiev,Ukraine,0.0022,w
3010685,2973878,Zhongshan,China,0.0124,w
3009047,2934621,Coimbatore,India,0.0254,w
3007583,2964382,Dubai,United Arab Emirates,0.0146,w
3005409,2917786,Handan,China,0.03,w
3000536,2986162,Lisbon,Portugal,0.0048,w
2987455,2915276,Port-au-Prince,Haiti,0.0248,w
2979893,2879079,Huaian,China,0.035,w
2972145,2956813,Caracas,Venezuela,0.0052,w
2937359,2935436,Shizuoka,Japan,0.0007,w
2929373,2816943,Bamako,Mali,0.0399,w
2917819,2834645,Weifang,China,0.0293,w
2901810,2853959,Algiers,Algeria,0.0168,w
2891746,2765002,Mbuji-Mayi,DR Congo,0.0458,w
2891119,2793173,Thiruvananthapuram,India,0.0351,w
2863730,2836747,Cali,Colombia,0.0095,w
2848557,2834132,Incheon,South Korea,0.0051,w
2848473,2800919,Goiania,Brazil,0.017,w
2818100,2739768,Pretoria,South Africa,0.0286,w
2811959,2695331,Lubumbashi,DR Congo,0.0433,w
2805654,2722257,Shaoxing,China,0.0306,w
2791005,2770434,Manchester,United Kingdom,0.0074,w
2780142,2732104,Zibo,China,0.0176,w
2764584,2689227,Yantai,China,0.028,w
2758593,2684343,Huizhou,China,0.0277,w
2754196,2742379,Taipei,Taiwan,0.0043,w
2674000,2638090,Bandung,Indonesia,0.0136,w
2666112,2668982,Sapporo,Japan,-0.0011,w
2665100,2645598,Birmingham,United Kingdom,0.0074,w
2660072,2605402,Accra,Ghana,0.021,w
2657088,2631690,Vancouver,Canada,0.0097,w
2637733,2552813,Brazzaville,Republic of the Congo,0.0333,w
2626368,2575626,Toluca de Lerdo,Mexico,0.0197,w
2610483,2497463,Mogadishu,Somalia,0.0453,w
2608425,2652124,Chicago,IL,-0.0165,us
2603243,2573758,Tashkent,Uzbekistan,0.0115,w
2602793,2534195,Luoyang,China,0.0271,w
2584771,2502761,Damascus,Syria,0.0328,w
2579762,2529210,Patna,India,0.02,w
2564502,2505183,Bhopal,India,0.0237,w
2514077,2456106,Tangerang,Indonesia,0.0236,w
2504505,2472222,Brisbane,Australia,0.0131,w
2492230,2423725,Nantong,China,0.0283,w
2475446,2439404,Tunis,Tunisia,0.0148,w
2439564,2442512,San Juan,Puerto Rico,-0.0012,w
2439054,2402041,Medan,Indonesia,0.0154,w
2432304,2401108,Baku,Azerbaijan,0.013,w
2421354,2433155,Beirut,Lebanon,-0.0049,w
2415416,2352547,Gujranwala,Pakistan,0.0267,w
2411785,2342514,Peshawar,Pakistan,0.0296,w
2409409,2385490,Belem,Brazil,0.01,w
2380636,2312208,Hohhot,China,0.0296,w
2377325,2327455,Rawalpindi,Pakistan,0.0214,w
2375636,2340784,Manaus,Brazil,0.0149,w
2367626,2332718,Maracaibo,Venezuela,0.015,w
2367554,2313971,Agra,India,0.0232,w
2349400,2324690,Barranquilla,Colombia,0.0106,w
2346137,2286474,Kannur,India,0.0261,w
2343452,2286224,Liuzhou,China,0.025,w
2342302,2339991,Sendai,Japan,0.001,w
2334878,2287174,Baotou,China,0.0209,w
2330928,2277870,Visakhapatnam,India,0.0233,w
2324084,2277153,Vadodara,India,0.0206,w
2318850,2296368,Taoyuan,Taiwan,0.0098,w
2287166,2240503,Xuzhou,China,0.0208,w
2281198,2211444,Phnom Penh,Cambodia,0.0315,w
2264876,2276533,Houston,TX,-0.0051,us
2259787,2221008,Tijuana,Mexico,0.0175,w
2258396,2219343,Esfahan,Iran,0.0176,w
2237369,2180269,Nashik,India,0.0262,w
2232240,2209584,Amman,Jordan,0.0103,w
2229765,2167516,Vijayawada,India,0.0287,w
2203025,2098210,Aleppo,Syria,0.05,w
2180997,2184528,Daegu,South Korea,-0.0016,w
2179384,2180348,Naples,Italy,-0.0004,w
2176022,2093166,Putian,China,0.0396,w
2170513,2141511,Grande Vitoria,Brazil,0.0135,w
2154600,2105987,Multan,Pakistan,0.0231,w
2149928,2114675,Mecca,Saudi Arabia,0.0167,w
2148930,2145691,Havana,Cuba,0.0015,w
2131291,2085864,Yangzhou,China,0.0218,w
2124797,2046187,Wuhu Anhui,China,0.0384,w
2121992,2109631,Brussels,Belgium,0.0059,w
2117997,2092649,Perth,Australia,0.0121,w
2110937,2048525,Conakry,Guinea,0.0305,w
2107539,2064081,Baoding,China,0.0211,w
2106606,2025984,Kollam,India,0.0398,w
2102143,2048701,Taizhou Zhejiang,China,0.0261,w
2086324,2054748,Bursa,Turkey,0.0154,w
2076364,2030847,Linyi Shandong,China,0.0224,w
2067591,2072344,Hiroshima,Japan,-0.0023,w
2057257,2048574,Minsk,Belarus,0.0042,w
2043107,1988607,Rajkot,India,0.0274,w
2016092,1974244,Haikou,China,0.0212,w
2000656,1954752,Daqing,China,0.0235,w
1993463,1951122,Yancheng Jiangsu,China,0.0217,w
1987301,1958135,Almaty,Kazakhstan,0.0149,w
1986439,1933605,Lianyungang,China,0.0273,w
1983445,1959318,Valencia,Venezuela,0.0123,w
1981615,1925517,Lome,Togo,0.0291,w
1976866,1937963,Panama City,Panama,0.0201,w
1975306,1937887,Semarang,Indonesia,0.0193,w
1975271,1960023,Vienna,Austria,0.0078,w
1967684,1925953,Hyderabad,Pakistan,0.0217,w
1959388,1931930,Rabat,Morocco,0.0142,w
1956995,1928296,Quito,Ecuador,0.0149,w
1951085,1916772,Ludhiana,India,0.0179,w
1949400,1907721,Davao City,Philippines,0.0218,w
1947785,1929846,Baixada Santista,Brazil,0.0093,w
1935619,1907686,La Paz,Bolivia,0.0146,w
1928661,1915134,West Yorkshire,United Kingdom,0.0071,w
1904631,1841084,Benin City,Nigeria,0.0345,w
1898749,1873522,Leon de los Aldamas,Mexico,0.0135,w
1889829,1847411,Zhuhai,China,0.023,w
1873693,1831912,Datong,China,0.0228,w
1869994,1814734,Quanzhou,China,0.0305,w
1865172,1786437,Can Tho,Vietnam,0.0441,w
1852405,1796872,Matola,Mozambique,0.0309,w
1835895,1814445,Adana,Turkey,0.0118,w
1834279,1798834,Madurai,India,0.0197,w
1830858,1785684,Sharjah,United Arab Emirates,0.0253,w
1820114,1784372,Santa Cruz,Bolivia,0.02,w
1818421,1785209,Palembang,Indonesia,0.0186,w
1816813,1760411,Raipur,India,0.032,w
1804704,1773495,Gaziantep,Turkey,0.0176,w
1801944,1798471,Turin,Italy,0.0019,w
1797805,1762162,Meerut,India,0.0202,w
1797516,1794532,Warsaw,Poland,0.0017,w
1792020,1737101,Mosul,Iraq,0.0316,w
1788871,1732743,Cixi,China,0.0324,w
1787520,1788170,Hamburg,Germany,-0.0004,w
1780592,1729825,La Laguna,Mexico,0.0293,w
1778052,1775207,Budapest,Hungary,0.0016,w
1776385,1785294,Bucharest,Romania,-0.005,w
1774396,1767243,Montevideo,Uruguay,0.004,w
1768511,1740196,Jiangmen,China,0.0163,w
1761188,1747575,Lyon,France,0.0078,w
1754425,1722259,Varanasi,India,0.0187,w
1748142,1684932,Batam,Indonesia,0.0375,w
1742706,1713433,Xiangyang,China,0.0171,w
1720954,1698584,Shiraz,Iran,0.0132,w
1716591,1672688,Yinchuan,China,0.0262,w
1711244,1660148,Yichang,China,0.0308,w
1700066,1679050,Stockholm,Sweden,0.0125,w
1698277,1659935,Srinagar,India,0.0231,w
1698088,1688907,Glasgow,United Kingdom,0.0054,w
1695060,1661439,Jamshedpur,India,0.0202,w
1694765,1686236,Novosibirsk,Russia,0.0051,w
1689499,1667187,Anshan,China,0.0134,w
1683389,1641602,Aurangabad,India,0.0255,w
1680962,1634829,Qinhuangdao,China,0.0282,w
1678020,1622582,Monrovia,Liberia,0.0342,w
1677173,1619469,Tiruppur,India,0.0356,w
1673220,1652341,Auckland,New Zealand,0.0126,w
1673094,1642129,Makassar,Indonesia,0.0189,w
1672627,1644544,Ulaanbaatar,Mongolia,0.0171,w
1668785,1645140,Jilin,China,0.0144,w
1666605,1625782,Xining,China,0.0251,w
1664968,1595867,Suqian,China,0.0433,w
1664442,1592924,Kananga,DR Congo,0.0449,w
1661854,1618900,Hengyang,China,0.0265,w
1660737,1643960,Tabriz,Iran,0.0102,w
1651344,1637902,Phoenix,AZ,0.0082,us
1650319,1622620,Muscat,Oman,0.0171,w
1642347,1585812,Anyang,China,0.0357,w
1639613,1611475,Calgary,Canada,0.0175,w
1635458,1609057,Qiqihaer,China,0.0164,w
1627549,1620227,Marseille,France,0.0045,w
1623382,1552630,Onitsha,Nigeria,0.0456,w
1611651,1597844,Cordoba,Argentina,0.0086,w
1594096,1574235,Rosario,Argentina,0.0126,w
1593608,1586825,Karaj,Iran,0.0043,w
1592324,1532588,N-Djamena,Chad,0.039,w
1586547,1548048,Jodhpur,India,0.0249,w
1582313,1560821,Ciudad Juarez,Mexico,0.0138,w
1578128,1557740,Harare,Zimbabwe,0.0131,w
1577436,1573369,Daejon,South Korea,0.0026,w
1576416,1566128,Munich,Germany,0.0066,w
1572571,1545420,Medina,Saudi Arabia,0.0176,w
1571010,1521057,Kathmandu,Nepal,0.0328,w
1569560,1543534,Jining Shandong,China,0.0169,w
1568025,1526660,Tegucigalpa,Honduras,0.0271,w
1566999,1539830,Abu Dhabi,United Arab Emirates,0.0176,w
1552899,1547094,Gaoxiong,Taiwan,0.0038,w
1547258,1510765,Ranchi,India,0.0242,w
1544448,1518921,Edmonton,Canada,0.0168,w
1536171,1502958,Zhangjiakou,China,0.0221,w
1535316,1511614,Natal,Brazil,0.0157,w
1531860,1500625,Mandalay,Myanmar,0.0208,w
1529472,1526457,Gwangju,South Korea,0.002,w
1527886,1551880,Philadelphia,PA,-0.0155,us
1527728,1521136,Yekaterinburg,Russia,0.0043,w
1523629,1511102,Grande Sao Luis,Brazil,0.0083,w
1522121,1495679,Jabalpur,India,0.0177,w
1516795,1474243,Kota,India,0.0289,w
1512668,1486964,Huainan,China,0.0173,w
1505033,1478266,Asansol,India,0.0181,w
1496298,1472558,Chaozhou,China,0.0161,w
1491958,1431539,Nouakchott,Mauritania,0.0422,w
1483320,1436780,Yiwu,China,0.0324,w
1479493,1465608,San Antonio,TX,0.0095,us
1475016,1442015,Gwalior,India,0.0229,w
1465152,1439202,Allahabad,India,0.018,w
1461989,1441324,San Jose,Costa Rica,0.0143,w
1459678,1405736,Ganzhou,China,0.0384,w
1454222,1435745,Chon Buri,Thailand,0.0129,w
1451748,1425040,Amritsar,India,0.0187,w
1448124,1413646,Basra,Iraq,0.0244,w
1446810,1414649,Taizhou Jiangsu,China,0.0227,w
1443429,1397632,Homs,Syria,0.0328,w
1440396,1388979,Mombasa,Kenya,0.037,w
1437233,1383909,Niamey,Niger,0.0385,w
1437188,1422635,Ottawa,Canada,0.0102,w
1431538,1419621,Zurich,Switzerland,0.0084,w
1429315,1389782,Weihai,China,0.0284,w
1424982,1373885,Jiaxing,China,0.0372,w
1423395,1366342,Kisangani,DR Congo,0.0418,w
1422974,1382031,Hai Phong,Vietnam,0.0296,w
1421827,1407889,Joao Pessoa,Brazil,0.0099,w
1421052,1423343,Kharkiv,Ukraine,-0.0016,w
1416064,1390010,Taian Shandong,China,0.0187,w
1413474,1389302,Queretaro,Mexico,0.0174,w
1408144,1405192,Belgrade,Serbia,0.0021,w
1407632,1383000,Konya,Turkey,0.0178,w
1400250,1368920,Cochabamba,Bolivia,0.0229,w
1398262,1359105,Kaifeng,China,0.0288,w
1391258,1353165,Rizhao,China,0.0282,w
1389776,1367686,Dhanbad,India,0.0162,w
